PREFIX,NUMBER,TITLE
CSC,260,Object-Oriented Programming I
CSC,360,Object-Oriented Programming II
CSC,301,Web Programming
CSC,362,Computer Systems
CSC,364,Data Structures and Algorithms
CSC,440,Software Engineering
CSC,460,Operating Systems
INF,120,Elementary Programming
INF,186,Media Web Coding
INF,282,Introduction to Databases
INF,286,Introduction to Web Development
MAT,129,Calculus I
MAT,229,Calculus II
MAT,234,Linear Algebra
MAT,329,Calculus III
MAT,385,Discrete Mathematics
